,throttle,elevator,aileron,rudder
77,0.1395,-0.042352550629463775,0.025974632698878508,-0.05604438911589677
78,0.1395,-0.04245590176923664,0.02567087701081291,-0.05613993990218945
79,0.1395,-0.04255803317345644,0.025376323455358552,-0.05623399586976239
80,0.1395,-0.042657591693651215,0.02501655620936631,-0.05631845875324542
81,0.1395,-0.04275525365805528,0.024638677135609535,-0.05639421747941233
82,0.1395,-0.042852396881124535,0.02433661261515353,-0.05647779909859962
83,0.1395,-0.04294837527215489,0.024073345724701045,-0.05656346027039919
84,0.1395,-0.043041069638212484,0.023726879267259447,-0.05662941466221898
85,0.1395,-0.043131563528902205,0.02339419368374818,-0.05668875752885845
86,0.1395,-0.043220880314402424,0.02308616609314929,-0.056750588910850344
87,0.1395,-0.04330913269881039,0.02278278175755927,-0.056814617369638346
88,0.1395,-0.04339578348512897,0.0224636872248548,-0.056874479388717473
